[18/02/23, 7:22:48 PM] Aditya Lucifer Bikes: ‎Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them.
[18/02/23, 7:22:44 PM] Aditya Lucifer Bikes: Hi
‎[18/02/23, 7:38:49 PM] Aditya Lucifer Bikes: Catalouge.pdf • ‎21 pages ‎<attached: 00000003-Catalouge.pdf>
[11/03/23, 3:44:07 PM] Aditya Lucifer Bikes: Lucifer bhi aa raha hai
[11/03/23, 3:45:12 PM] Syed: Batta ke bhejna
[11/03/23, 3:45:23 PM] Aditya Lucifer Bikes: Kya hua
[11/03/23, 3:45:34 PM] Syed: Kuch nahi bus, batta ke bhejna
[11/03/23, 3:45:40 PM] Aditya Lucifer Bikes: 20th March dispatch hai na
[11/03/23, 3:46:36 PM] Syed: Late karro. Thoda market slow hai bhai
[11/03/23, 3:46:38 PM] Syed: Isliye
[11/03/23, 3:46:43 PM] Syed: Commitment zyada hogaya hai
[11/03/23, 3:46:56 PM] Aditya Lucifer Bikes: Call karta hu
[11/03/23, 3:46:57 PM] Syed: Payments me dikkat ho Rahi hai isliye
[11/03/23, 3:46:58 PM] Aditya Lucifer Bikes: Ruko
[11/03/23, 3:47:04 PM] Syed: Aaj nahi, monday baat karte hain
[11/03/23, 3:47:11 PM] Syed: Aaj tabiyat theek nahi hai.
[11/03/23, 3:47:42 PM] Aditya Lucifer Bikes: 27 ko reach hoga
[11/03/23, 3:47:54 PM] Syed: Monday baat karrenge.
[11/03/23, 3:48:03 PM] Aditya Lucifer Bikes: Cheque 10 April ka bhar Kar de dena
[11/03/23, 3:48:05 PM] Aditya Lucifer Bikes: Koinissue nahi hai
[22/03/23, 7:47:28 PM] Aditya Lucifer Bikes: Aslam e waliqum
[22/03/23, 7:47:30 PM] Aditya Lucifer Bikes: Kaise ho bhai jaan
[22/03/23, 7:47:51 PM] Aditya Lucifer Bikes: Nikalwa du material bhai jaan
[22/03/23, 8:03:35 PM] Syed: Abhi nahi sir
[22/03/23, 8:03:39 PM] Syed: Market bahot slow hai.
[22/03/23, 8:03:54 PM] Aditya Lucifer Bikes: Call to pick Kar lo sir
[22/03/23, 8:04:07 PM] Syed: Kal baat karte hain.
[22/03/23, 8:04:16 PM] Aditya Lucifer Bikes: Ok boss
[26/03/23, 7:42:51 PM] Aditya Lucifer Bikes: Class persons with classy health
[26/03/23, 8:11:12 PM] Syed: 🙌
[08/04/23, 1:27:41 PM] Syed: Bhai maal agaya hai.
[08/04/23, 1:28:30 PM] Aditya Lucifer Bikes: 9728081143 par call Kar lena meri ph me battery nahi h
[08/04/23, 1:28:45 PM] Syed: Okay.
[08/04/23, 1:28:49 PM] Aditya Lucifer Bikes: M us number par avail hu
[08/04/23, 1:29:02 PM] Syed: Bhai aap sham me call karta hun.
[08/04/23, 1:29:34 PM] Aditya Lucifer Bikes: Sham tak to Mere hi number par Kar lena
[08/04/23, 1:29:42 PM] Syed: Theek hai bhai.
[17/04/23, 3:03:24 PM] Syed: Bhai, kuch leads do.
[17/04/23, 3:03:30 PM] Syed: Sale nahi hua hai ek bhi unit
[17/04/23, 3:03:36 PM] Syed: Prices zyada bolre customers.
[17/04/23, 3:03:50 PM] Syed: We are offering 10% off too.
[17/04/23, 3:04:08 PM] Aditya Lucifer Bikes: Bilkul sir
[17/04/23, 3:04:24 PM] Syed: Maal dekke bhul gaye phir bus payment pe call ayyega
[17/04/23, 3:04:29 PM] Syed: Aise kaise chalega sir.
‎[17/04/23, 3:05:06 PM] Syed: ‎<attached: 00000045-PHOTO-2023-04-17-15-05-07.jpg>
[17/04/23, 3:15:26 PM] Aditya Lucifer Bikes: Aisa kuch nahi hai sir
[17/04/23, 3:15:35 PM] Aditya Lucifer Bikes: Mai hospital me admit hu
[17/04/23, 3:15:41 PM] Aditya Lucifer Bikes: Lungs collapse Kar gaye
[17/04/23, 3:19:22 PM] Syed: Arre baap re, kaise sir ji
[19/04/23, 7:14:05 PM] Syed: Sir kya hua?
[19/04/23, 7:14:08 PM] Syed: Kaise hoo.
[19/04/23, 11:26:06 PM] Aditya Lucifer Bikes: Sorry bro for late reply
[19/04/23, 11:26:20 PM] Aditya Lucifer Bikes: Medicine lete hi neend aati ha
