no,date,amount,mode,txn_ref,proof_source,ledger_receipt_vch,status
1,2025-05-20,1059380,RTGS,1973347168,screenshot 00000043 (HDFC 0037→lucifirebike 7722),Rcpt 175,matched
2,2025-07-31,300000,IMPS,2050166545,screenshot 00000134,Rcpt 395,matched
3,2025-09-02,200000,IMPS,2085196605,screenshot 00000168,Rcpt 492,matched
4,2025-09-17,500000,IMPS,2104099729,screenshot 00000214,Rcpt 539,matched
5,2025-10-15,319860,IMPS,2137042070,screenshot 00000281,Rcpt 625,matched
6,2025-12-17,200000,IMPS,2209573196,screenshot 00000406,Rcpt 979,matched
7,2025-12-25,400000,IMPS,2217399987,screenshot 00000420,Rcpt 1005,matched
8,2025-12-29,372077,IMPS,2221381611,screenshot 00000424,Rcpt 1026,matched
9,2026-02-17,300000,,0000604816429002,NO proof in chat,Rcpt 1203,credited-but-unproven (verify in bank)
10,2026-03-20,150000,INFT,0437/0000607917459817,chat SMS (ICICI XX037),Rcpt 1356,matched
11,2026-04-23,300000,IMPS,2358467985,screenshot 00000699,Rcpt 128,matched
12,2026-05-22,400000,IMPS,2392595686,screenshot 00000711,Rcpt 273,matched
13,2026-06-11,500000,IMPS,616220748924,chat SMS (ICICI XX037→XX722),NOT IN LEDGER,paid-not-posted (ledger predates it)
