warehouse,item,uom,bdp,june_scheme,order_qty,line_value_bdp
Pargaon WH,"DODGE BLAST 2.0 26"" SS IX IBC 2PC VB RIGID WHITE FLUORO BLUE CKD VINYL DECALS STEEL RIM 2025",BOX,8060,BDP as per box,2,16120
Pargaon WH,"DODGE BLAST 2.0 26"" SS IX NON-IBC 2PC VB RIGID GREEN CKD VINYL DECALS STEEL RIM",BOX,7820,BDP as per box,2,15640
Pargaon WH,"DODGE BLAST 2.0 26"" SS IX NON-IBC 2PC VB RIGID YELLOW CKD VINYL DECALS STEEL RIM",BOX,7820,BDP as per box,2,15640
Pargaon WH,DODGE BLAST LADY 24*14 SS IX IBC VB RIGID PINK WHITE SKD WATER DECALS STEEL RIM,NOS,5290,-,2,10580
Pargaon WH,"DODGE BLAST LADY 26*15.5"" SS IX IBC VB RIGID PINK WHITE SKD WATER DECALS STEEL RIM",NOS,5290,-,2,10580
Pargaon WH,DODGE S1 24*12 SKD SS IX NON IBC VR STEEL RIMS WHITE YELLOW,NOS,4550,-,2,9100
Pargaon WH,DODGE S1 24 SKD SS IX NON IBC VR STEEL RIMS BLUE RED,NOS,4550,-,2,9100
Pargaon WH,DODGE S1 26*14 SKD SS IX NON IBC VR STEEL RIMS WHITE YELLOW,NOS,4550,-,2,9100
Pargaon WH,"KEYSTO ARCHER 24"" SS FSDD WATER DECALS SKD 2025 (ORANGE/BLUE)",NOS,6890,-,2,13780
Pargaon WH,KEYSTO CYLER 3.0 24*13 SS (IMP) FS DD SKD YELLOW BLACK BEARING HUB,NOS,8690,-,2,17380
Pargaon WH,KEYSTO KS 000 21 SPEED 24*14 IX NON-IBC FS DD BLACK ORANGE BLUE dual tone SKD WATER DECALS,NOS,8290,-,2,16580
Pargaon WH,KEYSTO KS 000 21 SPEED 24*14 IX NON-IBC FS DD BLACK RED BLUE dual tone SKD WATER DECALS,NOS,8290,-,2,16580
Pargaon WH,KEYSTO KS 000 21 SPEED 24*14 IX NON-IBC FS DD SKD RED BLACK RD/FD TY 300 WATER DECALS 2025,NOS,8290,-,2,16580
Pargaon WH,KEYSTO KS 000 21 SPEED 26*17 IX NON-IBC FS DD BLACK GREEN BLUE dual tone SKD WATER DECALS,NOS,8290,-,2,16580
Pargaon WH,KEYSTO KS 000 21 SPEED 26*17 IX NON-IBC FS DD BLACK RED BLUE dual tone SKD WATER DECALS,NOS,8290,-,2,16580
Pargaon WH,KEYSTO KS 000L 24*13.5 SS IX NON-IBC FS DD SKD BLACK PINK WATER DECALS,NOS,6370,-,2,12740
Pargaon WH,SCHNELL DYNAMIC 24*13 SS ( IMP ) FS DD SKD BLACK RED BRARING HUB,NOS,7990,-,2,15980
Pargaon WH,SCHNELL DYNAMIC 26*15 21 SPEED (IMP) FS DD SKD RD/FD-TY300 BLACK ORANGE,NOS,9790,-,2,19580
Pargaon WH,SCHNELL DYNAMIC 26*15 SS (IMP) FS DD SKD BLACK ORANGE BEARING HUB,NOS,7990,-,2,15980
Pargaon WH,SCHNELL DYNAMIC 26*15 SS (IMP) FS DD SKD BLACK RED BEARING HUB,NOS,7990,-,2,15980
Pargaon WH,SCHNELL DYNAMIC 27.5*18 21 SPEED (IMP) FS DD BLACK ORANGE SKD RD/FD-TY300,NOS,9890,-,2,19780
Pargaon WH,SCHNELL DYNAMIC 27.5*18 21 SPEED (IMP) FS DD BLACK RED SKD RD/FD-TY300,NOS,9890,-,2,19780
Pargaon WH,SCHNELL DYNAMIC 27.5*18 SS (IMP) FS DD BLACK ORANGE SKD BEARING HUB,NOS,8290,-,2,16580
Pargaon WH,SCHNELL DYNAMIC 27.5*18 SS (IMP) FS DD BLACK RED SKD BEARING HUB,NOS,8290,-,2,16580
Pargaon WH,SCHNELL DYNAMIC 29*18 SS (IMP) FS DD BEARING HUB BLACK ORANGE,NOS,8290,-,2,16580
Pargaon WH,"SCHNELL M500 27.5""18.5 21 SPEED (IMP) FS DD SKD MATTE GOLD GREEN RD - ALTUS FD-TY 500",NOS,18390,Buy 1 Get 1 SS Free - KS 000 - 24/26 IBC/NIBC/Z SERIES/VR,2,36780
Pargaon WH,"SCHNELL M500 27.5""18.5 21 SPEED (IMP) FS DD SKD MATTE GREY ORANGE RD - ALTUS FD-TY 500",NOS,18390,Buy 1 Get 1 SS Free - KS 000 - 24/26 IBC/NIBC/Z SERIES/VR,2,36780
Pargaon WH,"SCHNELL M500 29""18.5 21 SPEED (IMP) FS DD SKD MATTE GOLD GREEN RD - ALTUS FD-TY 500",NOS,18590,Buy 1 Get 1 SS Free - KS 000 - 24/26 IBC/NIBC/Z SERIES/VR,2,37180
Pargaon WH,"SCHNELL M500 29""18.5 21 SPEED (IMP) FS DD SKD MATTE GREY ORANGE RD - ALTUS FD-TY 500",NOS,18590,Buy 1 Get 1 SS Free - KS 000 - 24/26 IBC/NIBC/Z SERIES/VR,2,37180
Pargaon WH,SCHNELL ROCCO 24*14 21 SPEED (IMP) FS DD SKD BLACK BLUE BEARING HUB RD FD-TY 300,NOS,13940,BUY 4 ROCCO GET 1 ROCCO SS FREE,2,27880
Pargaon WH,SCHNELL ROCCO 24*14 21 SPEED (IMP) FS DD SKD BLACK ORANGE BEARING HUB RD FD-TY 300,NOS,13940,BUY 4 ROCCO GET 1 ROCCO SS FREE,2,27880
Pargaon WH,SCHNELL ROCCO 24*14 21 SPEED (IMP) FS DD SKD BLACK RED BEARING HUB RD FD-TY 300,NOS,13940,BUY 4 ROCCO GET 1 ROCCO SS FREE,2,27880
Pargaon WH,SCHNELL ROCCO 24*14 21 SPEED (IMP) FS DD SKD SILVER BLACK BEARING HUB RD FD-TY 300,NOS,13940,BUY 4 ROCCO GET 1 ROCCO SS FREE,2,27880
Pargaon WH,SCHNELL ROCCO 24*14 SS (IMP) FS DD SKD BLACK BLUE BEARING HUB,NOS,10990,BUY 4 ROCCO GET 1 ROCCO SS FREE,2,21980
Pargaon WH,SCHNELL ROCCO 24*14 SS (IMP) FS DD SKD BLACK ORANGE BEARING HUB,NOS,10990,BUY 4 ROCCO GET 1 ROCCO SS FREE,2,21980
Pargaon WH,SCHNELL ROCCO 24*14 SS (IMP) FS DD SKD BLACK RED BEARING HUB,NOS,10990,BUY 4 ROCCO GET 1 ROCCO SS FREE,2,21980
Pargaon WH,SCHNELL ROCCO 24*14 SS (IMP) FS DD SKD SILVER BLACK BEARING HUB,NOS,10990,BUY 4 ROCCO GET 1 ROCCO SS FREE,2,21980
Pargaon WH,"SCHNELL ROCCO 24"" 21 SPEED (IMP) FS DD SKD LIGHT BLUE BLACK BEARINGS HUB RD/FD-TY 300 2024",NOS,13940,BUY 4 ROCCO GET 1 ROCCO SS FREE,2,27880
Pargaon WH,"SCHNELL ROCCO 24"" 21 SPEED (IMP) FS DD SKD RED BLACK BEARINGS HUB RD/FD-TY 300 2024",NOS,13940,BUY 4 ROCCO GET 1 ROCCO SS FREE,2,27880
Pargaon WH,"SCHNELL ROCCO 24"" SS (IMP) FS DD SKD RED BLACK 2024",NOS,10990,BUY 4 ROCCO GET 1 ROCCO SS FREE,2,21980
Pargaon WH,SCHNELL ROCCO 26*15 21 SPEED (IMP) FS DD SKD BLACK BLUE BEARING HUB RD FD-TY 300,NOS,13940,BUY 4 ROCCO GET 1 ROCCO SS FREE,2,27880
Pargaon WH,SCHNELL ROCCO 26*15 21 SPEED (IMP) FS DD SKD BLACK ORANGE BEARING HUB RD FD-TY 300,NOS,13940,BUY 4 ROCCO GET 1 ROCCO SS FREE,2,27880
Pargaon WH,SCHNELL ROCCO 26*15 21 SPEED (IMP) FS DD SKD BLACK RED BEARING HUB RD FD-TY 300,NOS,13940,BUY 4 ROCCO GET 1 ROCCO SS FREE,2,27880
